[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/delByIds.do] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/goEdit.do] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/news/goAdd.do] onto handler 'competitionNewsController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/add] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/add.*] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/add/] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/findCompNoticeView] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/findCompNoticeView.*] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/findCompNoticeView/] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/del] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/del.*] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/del/] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/delete.do] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/find] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/find.*] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/find/] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/update] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/update.*] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/update/] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/findCompetitionNoticeView] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/findCompetitionNoticeView.*] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/notice/findCompetitionNoticeView/] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/notice/delByIds.do] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/notice/goEdit.do] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/notice/goAdd.do] onto handler 'competitionNoticeController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/round/list] onto handler 'competitionRoundController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/round/list.*] onto handler 'competitionRoundController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/round/list/] onto handler 'competitionRoundController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/round/save] onto handler 'competitionRoundController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/round/save.*] onto handler 'competitionRoundController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/round/save/] onto handler 'competitionRoundController'
[INFO ][2016-03-30 10:35:59,919] - Mapped URL path [/competition/round/update] onto handler 'competitionRoundController'
